Run!	Lari!
Tom started to sing.	Tom mulai bernyanyi.
Tom was very scared.	Tom sangat ketakutan.
Tom went home alone.	Tom pulang ke rumah sendirian.
Tom went on talking.	Tom lanjut berbicara.
Tom's eyes are blue.	Mata Tom biru.
Tom's eyes are blue.	Tom matanya biru.
Wake me up at eight.	Bangunkan aku jam delapan.
We can count on Tom.	Kami dapat mempercayai Tom.
We're eating apples.	Kami sedang makan apel.
Were they convinced?	Apakah mereka telah yakin?
What are you eating?	Apa yang sedang kamu makan?
What did he look up?	Apa yang dia cari?
What does Tom think?	Apa yang Tom pikirkan?
What is on the desk?	Di atas meja ada apa?
What is this called?	Disebut apa ini?
What was the result?	Bagaimana hasilnya?
What were you doing?	Sedang apa kau tadi?
What's your problem?	Apa masalahmu?
When did you get up?	Kapan kamu bangun?
When will you leave?	Kapan kamu akan pergi?
When will you leave?	Kamu kapan akan pergi?
When will you leave?	Kapan kamu berangkat?
Where are you bound?	Kamu menuju ke mana?
Where are you going?	Kau mau pergi ke mana?
Where are you going?	Anda akan pergi ke mana?
Where are you going?	Kamu mau ke mana?
Where are you going?	Mau ke mana?
Where have you been?	Dari mana kamu?
Where have you been?	Ke mana saja kamu?
Where have you been?	Dari mana saja Anda?
Where have you gone?	Ke mana kamu pergi?
Where is the toilet?	Di manakah toilet?
Where is the toilet?	Di mana toiletnya?
Where was he headed?	Dia menuju ke mana?
Where's the airport?	Ada di mana bandaranya?
Where's the station?	Stasiunnya di mana?
Where's your jacket?	Mana jaketmu?
Who is your teacher?	Siapa gurumu?
Why did you give up?	Kenapa kau menyerah?
Why didn't she come?	Kenapa dia tidak datang?
Why didn't you come?	Kenapa kau tidak datang?
Why do you say that?	Mengapa kamu mengatakan itu?
Why do you think so?	Kenapa kau berpikir begitu?
You can rely on him.	Kau bisa mengandalkannya.
You don't need that.	Kau tidak memerlukan itu.
You don't need this.	Kau tidak memerlukan ini.
You have to go back.	Kamu harus kembali.
You look very tired.	Kamu terlihat sangat lelah.
You must stay awake.	Kau harus tetap terjaga.
You still have time.	Kamu masih punya waktu.
You tore your pants.	Kau merobekkan celanamu.
You won't need that.	Kamu tidak akan memerlukan itu.
You'd better not go.	Sebaiknya kamu tidak pergi.
You're going to die.	Kau akan mati.
Your shoes are here.	Sepatumu ada di sini.
Am I being too vague?	Apa aku kurang jelas?
Are you a vegetarian?	Apa kau nabatiwan?
Are you a vegetarian?	Apa kau seorang nabatiwan?
Are you conservative?	Apa kau konservatif?
Are you sure of that?	Apa kau yakin dengan hal itu?
Are your hands clean?	Apakah tanganmu sudah bersih?
Birds fly in the sky.	Burung-burung terbang di langit.
Bring me a dry towel.	Bawakan aku sebuah handuk kering.
Button up your shirt.	Kancingkan bajumu.
Can I take a day off?	Bisakah aku mengambil hari libur?
Can I turn on the TV?	Bolehkah saya nyalakan TV-nya?
Can you ride a horse?	Dapatkah kamu menunggang kuda?
Can you speak French?	Apakah Anda bisa berbahasa Prancis?
Come on, let's do it.	Ayolah, mari kita lakukan.
Did you see a doctor?	Apa kau sudah pergi ke dokter?
Did you see anything?	Kamu melihat sesuatu?
Didn't I tell you so?	Tidakkah aku berkata begitu padamu?
Do whatever it takes.	Lakukan apapun yang diperlukan.
Do you have any pets?	Apakah Anda memiliki peliharaan?
Do you speak English?	Apa Anda menggunakan bahasa Inggris?
Don't make fun of me.	Jangan mempermainkanku.
Don't worry about me.	Jangan khawatirkan aku.
Everybody was silent.	Semua orang terdiam.
Go back to your seat.	Kembali ke tempat dudukmu!
Have you been abroad?	Kamu pernah ke luar negeri?
He began to feel ill.	Dia mulai merasa sakit.
He didn't fear death.	Dia tidak takut pada kematian.
He easily gets angry.	Dia mudah marah.
He gave a short talk.	Dia berbicara singkat.
He got bored quickly.	Dia mudah bosan.
He has a sweet voice.	Dia memiliki suara yang merdu.
He isn't here, is he?	Dia tidak ada di sini, kan?
He left home at 8:00.	Dia meninggalkan rumah pukul 8:00.
He wanted to succeed.	Dia ingin berhasil.
He went deer hunting.	Ia pergi berburu rusa.
He's eating an apple.	Dia sedang memakan sebuah apel.
He's under the chair.	Dia ada di bawah kursi.
How are your parents?	Bagaimana kabar orang tuamu?
How did you get hurt?	Bagaimana kamu bisa terluka?
How many people died?	Berapa banyak orang yang mati?
How much is this tie?	Berapa harga dasi ini?
I agree to this plan.	Saya setuju pada rencana ini.
I am afraid of dying.	Saya takut mati.
I am counting on you.	Aku mengandalkanmu.
I am eating an apple.	Saya sedang makan sebuah apel.
I am terribly hungry.	Aku sangat lapar.
I can't stop smoking.	Aku tidak bisa berhenti merokok.
I don't know exactly.	Aku tidak tahu tepatnya.
I felt like an idiot.	Aku merasa seperti orang bodoh.
I have a new red car.	Aku punya mobil baru warna merah.
I have a stepbrother.	Saya punya kakak tiri.
I have a stepbrother.	Saya punya adik tiri.
I have a stomachache.	Perutku sakit.
I have a twin sister.	Aku punya saudara kembar adik perempuan.
I have a twin sister.	Aku punya saudara kembar kakak perempuan.
I have no more ideas.	Aku kehabisan ide.
I have three cameras.	Aku memiliki tiga buah kamera.
I hope I can do this.	Aku harap aku bisa melakukan ini.
I know what you mean.	Aku tahu apa maksudmu.
I left the door open.	Aku membiarkan pintunya terbuka.
I like how it sounds.	Aku suka dengan bunyinya.
I like your optimism.	Aku suka dengan sifat optimismu.
I look forward to it.	Aku menantikannya.
I met Mary yesterday.	Aku bertemu Mary kemarin.
I owe my life to Tom.	Aku berhutang nyawa kepada Tom.
I paid $200 in taxes.	Aku membayar $200 untuk pajak.
I saw them yesterday.	Aku melihat mereka kemarin.
I showed her my room.	Aku menunjukkan kamarku padanya.
I tell you the truth.	Aku mengatakan padamu yang sebenarnya.
I think I understand.	Aku pikir aku paham.
I think you're crazy.	Saya pikir kamu gila.
I think you're right.	Aku pikir kamu benar.
I walked up the hill.	Aku menapaki bukit.
I want an MP3 player!	Aku ingin sebuah pemutar MP3!
I wanted to go there.	Aku ingin pergi ke sana.
I will come with you.	Aku akan ikut denganmu.
I'd like to see that.	Aku ingin melihatnya.
I'll be glad to come.	Dengan senang hati saya akan datang.
I'll buy you a drink.	Aku akan membelikanmu minuman.
I'll phone you later.	Aku akan meneleponmu nanti.
I'm glad to meet you.	Senang bertemu denganmu.
I'm happy to be here.	Saya senang berada disini.
I'm not busy anymore.	Aku tidak lagi sibuk.
I'm not feeling well.	Aku merasa tidak enak badan.
I'm shorter than you.	Aku lebih pendek ketimbang kamu.
I'm washing my hands.	Saya mencuci tangan.
I've already retired.	Aku sudah pensiun.
I've got a toothache.	Saya sakit gigi.
I've only just begun.	Aku baru saja memulainya.
I've read both books.	Aku sudah membaca kedua buku itu.
Is my answer correct?	Apakah jawaban saya tepat?
Is this your bicycle?	Apakah ini sepedamu?
It could've been Tom.	Itu mungkin Tom.
It is already eleven.	Sudah jam sebelas.
It is time to get up.	Sudah waktunya bangun.
It must've been love.	Ini pasti cinta.
It was kind of funny.	Itu agak menggelikan.
It's a good question.	Ini pertanyaan yang bagus
It's time to wake up.	Sudah waktunya bangun.
Just watch and learn.	Lihat dan pelajarilah.
Let me see that list.	Coba saya lihat daftar itu.
Let me take a gander.	Biarkan aku melihatnya.
Let's do it this way.	Mari kita lakukan dengan cara ini.
Let's do it your way.	Mari kita lakukan dengan caramu.
Let's give it a shot.	Mari kita mencobanya.
Let's just do it now.	Sudah mari kita lakukan saja sekarang.
Let's try once again.	Ayo coba sekali lagi.
Look at that big dog.	Lihatlah anjing besar itu.
May I ask a question?	Bolehkah saya mengajukan sebuah pertanyaan?
May I go out to play?	Bolehkah aku pergi bermain?
May I hold your hand?	Boleh aku pegang tangan kamu?
May I play the piano?	Bolehkah aku memainkan pianonya?
May I use your phone?	Boleh pinjam ponselmu?
May I use your phone?	Apakah saya boleh menggunakan ponsel Anda?
May I use your phone?	Bolehkah saya meminjam telepon Anda?
My house was on fire.	Rumahku kebakaran.
My watch is accurate.	Jam saya akurat.
OK, let's just do it.	OK, mari kita lakukan saja.
Please shut the door.	Tolong tutup pintunya.
She felt like crying.	Dia merasa ingin menangis.
She has ten children.	Dia mempunyai sepuluh anak.
She opens the window.	Dia membuka jendela.
She tends to be late.	Dia suka terlambat.
Should I cut my hair?	Haruskah aku memotong rambutku?
Should I go with you?	Apa perlu aku temani?
Stay out of the rain.	Jangan sampai kehujanan.
Take this table away.	Singkirkan meja ini.
That'll never change.	Itu tak akan pernah berubah.
That's my best guess.	Kurang lebih seperti itu.
That's not an answer.	Itu bukan suatu jawaban.
That's probably wise.	Mungkin sebaiknya begitu.
The TV won't turn on.	Televisinya tidak mau menyala.
The horse is jumping.	Kudanya melompat.
The house is haunted.	Rumah tersebut berhantu.
The ink is still wet.	Tintanya masih basah.
The voting continued.	Pemungutan suaranya dilanjutkan.
These are all I have.	Ini semua yang saya punya.
They live in a house.	Mereka tinggal di sebuah rumah.
They were all guilty.	Mereka semua bersalah.
They'll be safe here.	Mereka akan aman di sini.
They're all the same.	Semuanya sama.
This bed looks solid.	Ranjang ini tampak kokoh.
This is a true story.	Ini cerita yang sebenarnya.
This is all my fault.	Ini semua adalah salahku.
This is homemade jam.	Ini adalah selai buatan rumah.
This is insufficient.	Ini tidak cukup.
This is preposterous.	Ini gila.
This room is cramped.	Ruangannya sempit.
Tom appears confused.	Tom terlihat kebingungan.
Tom became irritated.	Tom merasa jengkel.
Tom doesn't trust us.	Tom tidak mempercayai kita.
Tom finally met Mary.	Tom akhirnya bertemu dengan Mary.
Tom has good manners.	Tom punya sopan santun.
Tom ironed his shirt.	Tom menyetrika bajunya.
Tom is a Red Sox fan.	Tom adalah penggemar dari Red Sox.
Tom is a good person.	Tom adalah orang yang baik.
Tom is a good worker.	Tom adalah pekerja yang baik.
Tom is a nice person.	Tom adalah orang yang baik.
Tom is conscientious.	Tom adalah seorang yang teliti.
Tom is older than me.	Tom lebih tua ketimbang aku.
Tom is the strongest.	Tomlah yang terkuat.
Tom looks bewildered.	Tom terlihat bimbang.
Tom looks nonplussed.	Tom tampak tercengang.
Tom never backs down.	Tom tidak pernah mundur.
Tom resumed speaking.	Tom lanjut berbicara.
Tom seems bewildered.	Tom sepertinya bimbang.
Tom speaks very fast.	Tom berbicara sangat cepat.
Tom speaks very fast.	Tom berbicara dengan sangat cepat.
Tom told me about it.	Tom memberitahuku tentang hal itu.
Tom used to be happy.	Tom dulu bahagia.
Tom was all worn out.	Tom benar-benar kelelahan.
Tom was good at that.	Tom sangat baik dalam hal itu.
Tom was lying to you.	Tom sudah berbohong padamu.
Tom went on speaking.	Tom lanjut berbicara.
Tom won't let you go.	Tom tidak akan membiarkanmu pergi.
Turtles are reptiles.	Kura-kura adalah reptil.
We all speak English.	Kita semua berbicara dengan bahasa inggris.
We did what we could.	Kami melakukan yang kami bisa.
We finished the work.	Kami menyelesaikan pekerjaannya.
We had to let Tom go.	Kita harus membiarkan Tom pergi.
We made him go there.	Kami membuatnya pergi ke sana.
We met along the way.	Kami bertemu di tengah perjalanan.
We must do something.	Kita harus melakukan sesuatu.
We ran down the hill.	Kami berlari menuruni bukit.
We were all laughing.	Kami semua tertawa.
We're going to fight.	Kita akan bertarung.
We're really married.	Kami berdua benar-benar sudah menikah.
Were you intoxicated?	Apa kau mabuk?
What did you do then?	Lalu apa yang kau lakukan?
What grade is Tom in?	Kelas berapa Tom?
What grade is Tom in?	Tom kelas berapa?
What is your problem?	Apa masalahmu?
What're you drinking?	Kamu minum apa?
What's our situation?	Bagaimana situasi kita?
When are you leaving?	Kapan kamu akan pergi?
When are you leaving?	Kamu kapan akan pergi?
When are you leaving?	Kapan kamu berangkat?
When did you come in?	Kapan kamu masuk?
When is Tom arriving?	Kapan Tom akan tiba?
When will you return?	Kapan kamu akan kembali?
When's your birthday?	Kapan ulang tahunmu?
Where are the knives?	Ada di mana pisau-pisaunya?
Where are you headed?	Kamu menuju ke mana?
Where are you off to?	Kau mau pergi ke mana?
Where are you off to?	Anda akan pergi ke mana?
Where have they gone?	Ke mana mereka pergi?
Where is the station?	Ada di mana stasiunnya?
Where is the station?	Stasiunnya di mana?
Where is your jacket?	Di mana jaketmu?
Where were you going?	Ke mana kamu pergi?
Where's the restroom?	Di mana kamar kecilnya?
Who are these people?	Siapa orang-orang ini?
Who are these people?	Mereka ini siapa?
Who deleted the file?	Siapa yang menghapus berkasnya?
Who do you live with?	Dengan siapa kamu tinggal?
Who invited you guys?	Siapa yang mengundang kalian?
Whose pencil is this?	Pensil siapa ini?
Why do you need this?	Kenapa kau membutuhkan ini?
Why do you work here?	Kenapa kau bekerja di sini?
Yesterday was Monday.	Kemarin adalah hari Senin.
You are new students.	Kalian adalah para siswa baru.
You are the only one.	Kaulah satu-satunya.
You just made my day.	Kau baru saja membuatku merasa sangat bahagia.
You look happy today.	Kamu terlihat bahagia hari ini.
You may use this car.	Kamu boleh menggunakan mobil ini.
You're not ready yet.	Kamu belum siap.
You're totally right.	Kau memang benar.
Your answer is right.	Jawabanmu benar.
Your answer is wrong.	Jawabanmu salah.
Am I imagining things?	Apa aku sedang berhalusinasi?
Any child can do that.	Semua anak bisa melakukan itu.
Are they all the same?	Apakah mereka semua sama?
Are you being serious?	Apa kau serius?
Are you in a bad mood?	Apa suasana hatimu sedang buruk?
Are you talking to me?	Apakah kau sedang bicara padaku?
Are you ten years old?	Apa umurmu 10 tahun?
Aren't they Americans?	Bukankah mereka orang Amerika?
Call me at the office.	Hubungi aku melalui kantor.
Can I ask you a favor?	Boleh minta tolong?
Can I buy you a drink?	Mau aku traktir minum?
Can I use your pencil?	Bolehkah aku menggunakan pensilmu?
Can you get a day off?	Bisakah aku mendapatkan hari libur?
Can you keep a secret?	Bisakah kau menjaga rahasia?
Can you speak English?	Apa Anda bisa berbahasa Inggris?
Did you see something?	Kamu melihat sesuatu?
Dinner's getting cold.	Makan malamnya mendingin.
Do you have a bicycle?	Apakah kamu punya sepeda?
Do you have a bicycle?	Apakah Anda punya sepeda?
Do you have a lighter?	Apa kau punya korek api?
Do you have a vacancy?	Apa ada kamar yang kosong?
Do you have some milk?	Apa kau punya susu?
Do you like surprises?	Apakah kamu menyukai kejutan?
Do you understand her?	Apa kamu mengerti dia?
Does Tom like to swim?	Apakah Tom suka berenang?
Does she have a piano?	Apakah ia memiliki sebuah piano?
Don't make me hit you.	Jangan sampai aku memukulmu.
Don't point at others.	Jangan menuduh orang lain.
Don't touch my camera.	Jangan sentuh kameraku.
Everyone stared at me.	Semua orang menatap padaku.
Everything's so cheap.	Semuanya sangat murah.
Get a picture of this.	Coba pahami ini.
Has Tom said anything?	Apakah Tom mengatakan sesuatu?
Have you eaten dinner?	Kamu sudah makan malam?
Have you eaten dinner?	Apa kau sudah makan malam?
Haven't we met before?	Bukankah kita pernah bertemu sebelumnya?
He crossed the street.	Dia menyeberang jalan.
He got a lot of money.	Dia punya banyak uang.
He has a lot of money.	Dia punya banyak uang.
He has an eye for art.	Dia punya selera seni yang tinggi.
He has gone to London.	Dia telah berangkat ke London.
He is mad about music.	Dia tergila-gila soal musik.
He lived a happy life.	Dia hidup dengan bahagia.
He often plays guitar.	Dia sering bermain gitar.
He's eating lunch now.	Dia sedang makan siang sekarang.
He's my older brother.	Dia kakakku.
He's very intelligent.	Dia sangat pintar.
Hello, how's business?	Halo, bagaimana bisnismu?
Hi. How are you doing?	Hai. Bagaimana kabarmu?
His dad calls him Tom.	Ayahnya memanggilnya Tom.
How high can you jump?	Seberapa tinggi kamu dapat melompat?
How long did you stay?	Berapa lama kamu menginap?
How long does it take?	Butuh waktu berapa lama?
How long does it take?	Akan memakan waktu berapa lama?
How long will it take?	Berapa lama waktu yang dibutuhkan?
How many do they need?	Berapa banyak yang mereka butuhkan?
How much does it cost?	Berapa harganya?
How was your vacation?	Bagaimana liburan Anda?
I admire your courage.	Aku memuji keberanianmu.
I am glad to meet you.	Senang bertemu denganmu.
I am shorter than you.	Aku lebih pendek ketimbang kamu.
I can't take any more.	Aku tidak tahan lagi.
I can't take any more.	Aku sudah tak mampu menahannya lagi.
I can't take any more.	Aku sudah tidak tahan lagi.
I come from Australia.	Saya datang dari Australia.
I do not know exactly.	Aku tidak tahu tepatnya.
I don't know for sure.	Aku tidak tahu pastinya.
I don't like this one.	Saya tidak suka yang ini.
I don't need anything.	Saya tidak butuh apapun.
I don't often eat out.	Saya jarang makan diluar.
I don't want any more.	Saya tidak mau lagi.
I feel so happy today.	Aku merasa sangat bahagia hari ini.
I go to bed about ten.	Aku pergi tidur sekitar jam 10.
I guess you are right.	Aku rasa kamu benar.
I had my watch stolen.	Arloji saya dicuri.
I had to go back home.	Aku harus pulang.
I have a bad headache.	Saya menderita sakit kepala yang parah.
I have a few theories.	Aku punya beberapa teori.
I have a half brother.	Saya punya kakak tiri.
I have a half brother.	Saya punya adik tiri.
I have a twin brother.	Aku punya saudara kembar kakak laki-laki.
I have a twin brother.	Aku punya saudara kembar adik laki-laki.
I have life insurance.	Saya punya asuransi jiwa.
I have to go to sleep.	Aku harus pergi tidur.
I met her an hour ago.	Aku bertemu dengannya sejam yang lalu.
I met her by accident.	Aku tidak sengaja bertemu dengannya.
I must hurry to class.	Aku harus segera pergi ke kelas.
I need to get a stamp.	Aku butuh perangko.
I no longer want that.	Aku tidak lagi menginginkan itu.
I owe you ten dollars.	Aku berhutang 10 dolar padamu.
I ran a race with him.	Aku berbalapan lari dengannya.
I saw Tom in the hall.	Aku melihat Tom di aula.
I saw Tom in the hall.	Aku melihat Tom di lorong.
I thought he was sick.	Kukira dia sakit.
I thought it was true.	Aku kira itu benar adanya.
I usually eat outside.	Aku biasanya makan di luar.
I want to go with you.	Saya ingin pergi dengan anda.
I want to sing a song.	Aku ingin menyanyikan sebuah lagu.
I want you to take it.	Aku mau kamu mengambilnya.
I was at my wit's end.	Aku kehabisan akal.
I was kind of nervous.	Aku agak gugup.
I went out for a walk.	saya pergi keluar untuk jalan-jalan.
I'd like to buy a map.	Saya ingin membeli sebuah peta.
I'd like to check out.	Aku mau memeriksa.
I'll call again later.	Saya hubungi lagi nanti.
I'll get some glasses.	Aku akan mengambil beberapa gelas.
I'll stay if it rains.	Aku akan tinggal jika hujan.
I'm afraid to go home.	Aku takut pulang ke rumah.
I'm glad I could help.	Saya senang bisa membantu.
I'm glad you liked it.	Aku senang kamu menyukainya.
I'm going to kill you.	Aku akan membunuhmu.
I'm here as a tourist.	Aku di sini sebagai seorang turis.
I'm playing a TV game.	Aku memainkan sebuah permainan di televisi.
I'm still not certain.	Aku masih belum yakin.
I've been to the bank.	Aku baru saja pergi ke bank.
Is everything OK here?	Apakah semuanya oke di sini?
Is that clock working?	Apakah jam itu bekerja?
Is there a difference?	Apakah ada perbedaan?
Is there life on Mars?	Apakah ada kehidupan di Mars?
Is this a coincidence?	Apakah ini sebuah kebetulan?
Is your home far away?	Apakah rumahmu jauh?
Is your watch correct?	Apakah jam Anda waktunya tepat?
It can be frustrating.	Hal ini bisa membuatmu frustrasi.
It is under the chair.	Itu ada di bawah kursi.
It seemed to be cheap.	Sepertinya itu murah.
It seems well written.	Ini kelihatan ditulis dengan rapi.
It will probably rain.	Kemungkinan hujan akan turun.
It's really happening.	Itu benar-benar terjadi.
Keep your hands clean.	Jaga tanganmu tetap bersih.
Let me drive you home.	Biarkan aku mengantarmu pulang.
Let's do it ourselves.	Mari kita lakukan sendiri.
Let's do it right now.	Mari kita lakukan sekarang juga.
Let's get back inside.	Ayo masuk kedalam kembali.
Let's give it a whirl.	Mari kita mencobanya.
Let's go to the beach.	Mari kita pergi ke pantai.
Let's have a go at it.	Mari kita mencobanya.
Like father, like son.	Seperti ayah, seperti anak.
Like father, like son.	Anak laki-laki mirip dengan ayahnya.
Mary is a lovely girl.	Mary adalah gadis yang menawan.
Mary is a pretty girl.	Mary adalah gadis yang cantik.
My brother swims well.	Adikku berenang dengan baik.
My brother swims well.	Kakakku berenang dengan baik.
My life was in danger.	Hidupku dalam bahaya.
My right hand is numb.	Tangan kananku mati rasa.
My shoes are worn out.	Sepatuku sudah usang.
No one knew who I was.	Tidak ada yang tahu siapa dulunya aku.
Nobody understands me.	Tidak ada yang mengerti aku.
Not all birds can fly.	Tidak semua burung bisa terbang.
Please close the door.	Tolong tutup pintunya.
Please go to the bank.	Tolong pergilah ke bank.
Please take your seat.	Silakan duduk.
Read it again, please.	Tolong bacakan sekali lagi.
She's eight years old.	Dia delapan tahun.
Show me your passport.	Tunjukkan paspor Anda.
Shut the door, please.	Tolong tutup pintunya.
Sit wherever you like.	Duduklah di manapun yang kau sukai.
So you give up, right?	Jadi kamu menyerah, benar?
Stop worrying so much.	Jangan terlalu khawatir.
Take care of yourself.	Jaga dirimu sendiri.
Tell me what you want.	Katakan padaku apa yang kau inginkan.
Tests start next week.	Ujian akan mulai minggu depan.
That isn't my problem.	Itu bukan masalahku.
That should be enough.	Itu cukup.
That's awesome, right?	Itu mengagumkan sekali, bukan?
That's not my concern.	Itu bukan urusanku.
That's not my problem.	Itu bukan masalahku.
That's not surprising.	Itu bukanlah hal yang mengejutkan.
The Milky Way is huge.	Bima Sakti besar.
The faucet is leaking.	Kerannya bocor.
The money disappeared.	Uang telah menghilang.
The radio is too loud.	Suara radionya terlalu keras.
The sun is going down.	Mataharinya mulai terbenam.
These are my children.	Mereka ini adalah anak-anakku.
They're eating apples.	Mereka sedang memakan apel.
This heater burns gas.	Pemanas ini berbahan bakar gas.
This is a Chinese fan.	Ini adalah kipas Tiongkok.
This is not expensive.	Ini tidak mahal.
This isn't my problem.	Ini bukan masalahku.
This should be washed.	ini harus dicuci.
Tom and Mary are done.	Tom dan Mary putus.
Tom appeared confused.	Tom terlihat kebingungan.
Tom can't play tennis.	Tom tidak bisa bermain tenis.
Tom clapped his hands.	Tom bertepuk tangan.
Tom closed the drawer.	Tom menutup lacinya.
Tom continued talking.	Tom lanjut berbicara.
Tom did as I told him.	Tom melakukan apa yang aku katakan.
Tom doesn't like beef.	Tom tidak suka daging sapi.
Tom has a pretty wife.	Tom mempunyai istri yang cantik.
Tom has a stomachache.	Tom sakit perut.
Tom has been expelled.	Tom telah dikeluarkan.
Tom has been poisoned.	Tom telah diracuni.
Tom has to be stopped.	Tom harus dihentikan.
Tom is always bananas.	Tom selalu konyol.
Tom is bigger than me.	Tom lebih besar ketimbang aku.
Tom is reading a book.	Tom sedang membaca buku.
Tom is taller than me.	Tom lebih tinggi daripada aku.
Tom looks dumbfounded.	Tom tampak tercengang.
Tom misses his family.	Tom merindukan keluarganya.
Tom refused to let go.	Tom menolak untuk melepas.
Tom spoke up for Mary.	Tom berbicara untuk Mary.
Tom studies very hard.	Tom sangat tekun belajar.
Tom was quite helpful.	Tom sudah cukup membantu.
Tom wouldn't sit down.	Tom tidak akan duduk.
Watch your mouth, Tom.	Jaga mulutmu, Tom.
We're on our way home.	Kami sedang berada dalam perjalanan pulang.
We're still searching.	Kami masih mencari.
What a waste of money!	Buang-buang duit aja!
What are you drinking?	Kamu minum apa?
What can I do for you?	Apa yang bisa aku lakukan untuk kamu?
What do you guys have?	Kalian punya apa?
What grade are you in?	Kamu kelas berapa?
What if Tom finds out?	Bagaimana kalau Tom mengetahuinya?
What made you do this?	Apa yang membuatmu melakukan ini?
What makes you so sad?	Apa yang membuatmu begitu sedih?
What time did you eat?	Kamu makan jam berapa?
What's in your pocket?	Apa yang ada di dalam kantongmu?
What's wrong with you?	Apa yang salah denganmu ?
What's wrong with you?	Ada apa denganmu?
What's your last name?	Siapa nama belakangmu?
What's your specialty?	Jurusanmu apa?
When did Tom buy that?	Kapan Tom membeli itu?
When is your birthday?	Kapan ulang tahunmu?
When is your birthday?	Kapan anda berulang tahun?
When will you be back?	Kapan kamu akan kembali?
Where are you heading?	Kamu mau menuju ke mana?
Where are you heading?	Anda akan menuju ke mana?
Where are you staying?	Di mana Anda menginap?
Where are your things?	Ada dimana barang-barangmu?
Where is my newspaper?	Di mana koranku?
Where is the bus stop?	Di mana tempat pemberhentian busnya?
Where's Tom moving to?	Tom pindah ke mana?
Where's the newspaper?	Korannya mana?
Who am I talking with?	Dengan siapa saya bicara?
Who is that gentleman?	Siapakah pria itu?
Whose bicycle is this?	Sepeda siapa ini?
Why do they come here?	Kenapa mereka datang kemari?
Why was this a secret?	Mengapa ini rahasia?
Would you care to try?	Anda ingin mencoba?
Would you like to eat?	Apa kau mau makan?
You can't be a doctor.	Kamu tidak bisa menjadi seorang dokter.
You deserve the prize.	Kau layak mendapatkan hadiah itu.
You must do your duty.	Kau harus melaksanakan tugasmu.
You shouldn't move it.	Kau seharusnya tidak memindahkannya.
You'd better hurry up.	Sebaiknya kamu cepat-cepat.
You'd better sit here.	Sebaiknya kau duduk di sini.
You'll never be alone.	Kamu tak akan pernah sendirian.
You're older than Tom.	Kamu lebih tua daripada Tom.
Your hair is too long.	Rambutmu terlalu panjang.
Your shoes are untied.	Sepatumu belum terikat.
A promise is a promise.	Janji adalah janji.
Are you coming with me?	Apa kamu mau ikut?
Are you speaking to me?	Apa kau bicara padaku?
Business has been good.	Bisnis selalu dalam keadaan baik.
Can I pick my own desk?	Bolehkah saya memilih tempat duduk saya sendiri?
Can you play the piano?	Bisakah kau bermain piano?
Cats don't eat bananas.	Kucing tidak makan pisang.
Close the door, please.	Tolong tutup pintunya.
Did you watch the game?	Apa kamu melihat pertandingan itu?
Do one thing at a time.	Kerjakan satu hal dalam satu waktu.
Do you have any coffee?	Apa kau punya kopi?
Do you know the reason?	Apa kau tahu alasannya?
Do you like my T-shirt?	Apakah kamu menyukai kaus oblong saya?
Do you study every day?	Apa kamu belajar setiap hari?
Don't be a wet blanket.	Jangan suka mengganggu kesenangan orang lain.
Don't underestimate me.	Jangan meremehkanku.
Good morning, everyone.	Selamat pagi, semuanya.
Have you seen anything?	Kamu melihat sesuatu?
He delivers newspapers.	Dia mengantar koran.
He has a bright future.	Dia punya masa depan yang cerah.
He has bad handwriting.	Dia memiliki tulisan tangan yang buruk.
He is blind in one eye.	Sebelah matanya buta.
He isn't able to do it.	Dia tidak mampu melakukannya.
He may have told a lie.	Dia bisa saja berbohong.
He was going to school.	Dia baru akan berangkat menuju ke sekolah.
He won't come, will he?	Dia tidak akan datang, kan?
He's going to sit here.	Dia akan duduk di sini.
How long was Tom there?	Sudah berapa lama Tom di sana?
How much is this watch?	Berapa harga jam tangan ini?
I am ashamed of myself.	Aku malu pada diriku sendiri.
I am to meet him there.	Saya akan bertemu dengannya di sana.
I can't read your mind.	Aku tidak bisa membaca pikiranmu.
I cried all night long.	Aku menangis semalam suntuk.
I don't agree with him.	Aku tidak setuju dengan dia.
I don't agree with you.	Aku tidak setuju denganmu.
I don't get you at all.	Aku benar-benar tidak memahamimu.
I don't have a bicycle.	Saya tidak punya sepeda.
I don't like it at all.	Aku tidak menyukainya sama sekali.
I don't need your help.	Aku tidak butuh bantuanmu.
I don't regret a thing.	Aku tidak menyesali apapun.
I don't want any sugar.	Saya tidak mau gula.
I felt the house shake.	Aku merasakan rumahnya berguncang.
I had to get back home.	Aku harus pulang.
I have a bad toothache.	Aku menderita sakit gigi yang parah.
I have missed my train.	Aku ketinggalan keretaku.
I have only just begun.	Aku baru saja mulai.
I have to find Tom now.	Aku harus menemukan Tom sekarang.
I have to get up early.	Aku harus bangun pagi-pagi.
I hope he can help you.	Saya harap dia bisa membantuku.
I hope to see you soon.	Aku harap aku bisa segera bertemu denganmu lagi.
I knew he would accept.	Aku tahu dia akan setuju.
I know Tom is innocent.	Aku tahu Tom tidak bersalah.
I like pizza very much.	Aku sangat suka dengan piza.
I mean what I'm saying.	Aku serius dengan apa yang kukatakan.
I met Tom this January.	Aku bertemu dengan Tom Januari ini.
I saw her wash the car.	Saya melihatnya mencuci mobil.
I saw it in a magazine.	Aku melihatnya pada sebuah majalah.
